rm_id,product_id,purchase_order_id,purchase_order_item_no,receival_item_no,batch_id,date_arrival,receival_status,net_weight,supplier_id
367,91900143.0,208541,10,1,,2004-06-16 13:19:00 +02:00,Completed,19640.0,52036
375,91900302.0,208551,20,1,,2004-06-16 13:53:00 +02:00,Completed,20420.0,50390
367,91900143.0,208537,10,1,,2004-06-16 13:58:00 +02:00,Completed,3390.0,50387
366,91900160.0,208537,20,2,,2004-06-16 13:58:00 +02:00,Completed,15490.0,50387
375,91900302.0,208603,20,1,,2004-06-16 14:03:00 +02:00,Completed,15060.0,56343
365,91900143.0,208541,10,1,,2004-06-15 17:08:00 +02:00,Completed,9480.0,52036
365,91900143.0,208548,10,1,,2004-06-15 17:12:00 +02:00,Completed,9920.0,55059
368,91900170.0,210267,10,1,,2004-06-15 17:20:00 +02:00,Completed,13500.0,57292
389,91900330.0,208921,30,1,,2004-06-29 17:25:00 +02:00,Completed,6640.0,57619
367,91900143.0,208921,10,2,,2004-06-29 17:25:00 +02:00,Completed,9260.0,57619
347,91900143.0,210379,10,1,,2004-06-17 08:34:00 +02:00,Completed,13500.0,58000
365,91900143.0,208535,10,1,,2004-06-17 08:42:00 +02:00,Completed,9760.0,55251
365,91900143.0,208603,10,1,,2004-06-17 08:47:00 +02:00,Completed,9260.0,56343
375,91900302.0,208603,20,2,,2004-06-17 08:47:00 +02:00,Completed,4800.0,56343
365,91900143.0,208548,10,1,,2004-06-17 08:54:00 +02:00,Completed,9180.0,55059
365,91900143.0,208794,10,1,,2004-06-17 09:43:00 +02:00,Completed,17500.0,57615
357,91900152.0,209536,110,1,,2004-06-17 09:48:00 +02:00,Completed,23920.0,10001
357,91900152.0,209536,110,1,,2004-06-17 09:53:00 +02:00,Completed,24180.0,10001
365,91900143.0,208541,10,1,,2004-06-17 10:56:00 +02:00,Completed,12340.0,52036
365,91900143.0,208543,10,1,,2004-06-17 11:01:00 +02:00,Completed,25620.0,52063
365,91900143.0,208490,10,1,,2004-06-17 11:11:00 +02:00,Completed,6287.0,50468
365,91900143.0,208490,10,2,,2004-06-17 11:11:00 +02:00,Completed,12949.0,50468
379,91900296.0,210435,20,1,,2004-06-17 11:26:00 +02:00,Completed,24230.0,52577
367,91900143.0,208535,10,1,,2004-06-17 11:52:00 +02:00,Completed,11160.0,55251
357,91900152.0,209536,110,1,,2004-06-17 12:11:00 +02:00,Completed,23840.0,10001
365,91900143.0,208535,10,1,,2004-06-17 12:38:00 +02:00,Completed,6980.0,55251
365,91900143.0,208544,10,1,,2004-06-17 13:22:00 +02:00,Completed,22260.0,52069
365,91900143.0,208542,10,1,,2004-06-17 13:24:00 +02:00,Completed,22115.0,50420
367,91900143.0,208533,10,1,,2004-06-17 13:42:00 +02:00,Completed,14540.0,50350
368,91900170.0,210267,10,1,,2004-06-17 13:58:00 +02:00,Completed,11220.0,57292
347,91900143.0,210379,10,1,,2004-06-17 15:29:00 +02:00,Completed,16305.0,58000
365,91900143.0,208532,10,1,,2004-06-18 07:35:00 +02:00,Completed,8970.0,20023
369,91900146.0,208532,30,2,,2004-06-18 07:35:00 +02:00,Completed,6200.0,20023
366,91900160.0,208532,20,3,,2004-06-18 07:35:00 +02:00,Completed,5310.0,20023
357,91900152.0,209536,110,1,,2004-06-18 07:38:00 +02:00,Completed,23820.0,10001
367,91900143.0,208541,10,1,,2004-06-18 08:03:00 +02:00,Completed,12420.0,52036
368,91900170.0,210275,30,1,,2004-06-18 09:00:00 +02:00,Completed,10180.0,54904
357,91900152.0,209536,110,1,,2004-06-18 09:04:00 +02:00,Completed,24040.0,10001
365,91900143.0,208544,10,1,,2004-06-18 09:10:00 +02:00,Completed,23030.0,52069
365,91900143.0,208604,10,1,,2004-06-18 09:26:00 +02:00,Completed,10900.0,52064
365,91900143.0,208604,10,2,,2004-06-18 09:26:00 +02:00,Completed,10300.0,52064
365,91900143.0,208547,10,1,,2004-06-18 09:51:00 +02:00,Completed,22120.0,54748
365,91900143.0,208542,10,1,,2004-06-18 10:55:00 +02:00,Completed,20520.0,50420
365,91900143.0,208549,10,1,,2004-06-18 10:59:00 +02:00,Completed,9180.0,55568
365,91900143.0,208533,10,1,,2004-06-18 11:03:00 +02:00,Completed,20700.0,50350
357,91900152.0,209536,110,1,,2004-06-18 11:14:00 +02:00,Completed,24520.0,10001
365,91900143.0,208535,10,1,,2004-06-18 11:58:00 +02:00,Completed,15340.0,55251
365,91900143.0,208541,10,1,,2004-06-18 13:07:00 +02:00,Completed,13040.0,52036
365,91900143.0,208545,10,1,,2004-06-18 13:24:00 +02:00,Completed,8720.0,52062
365,91900143.0,208545,10,2,,2004-06-18 13:24:00 +02:00,Completed,16420.0,52062
365,91900143.0,208541,10,1,,2004-06-18 14:02:00 +02:00,Completed,17320.0,52036
368,91900170.0,210275,10,1,,2004-06-18 14:10:00 +02:00,Completed,11700.0,54904
368,91900170.0,210275,30,2,,2004-06-18 14:10:00 +02:00,Completed,2960.0,54904
367,91900143.0,210379,10,1,,2004-06-18 15:13:00 +02:00,Completed,13900.0,58000
365,91900143.0,208535,10,1,,2004-06-18 15:26:00 +02:00,Completed,8040.0,55251
375,91900302.0,208603,20,1,,2004-06-18 15:38:00 +02:00,Completed,10020.0,56343
379,91900296.0,210267,20,1,,2004-06-18 15:43:00 +02:00,Completed,12220.0,57292
365,91900143.0,208540,10,1,,2004-06-21 08:32:00 +02:00,Completed,19700.0,50430
347,91900143.0,208540,10,1,,2004-06-21 08:36:00 +02:00,Completed,14920.0,50430
365,91900143.0,208537,10,1,,2004-06-21 09:37:00 +02:00,Completed,25120.0,50387
378,91900302.0,208921,20,1,,2004-06-21 09:56:00 +02:00,Completed,6200.0,57619
365,91900143.0,208921,10,2,,2004-06-21 09:56:00 +02:00,Completed,12020.0,57619
365,91900143.0,208921,10,3,,2004-06-21 09:56:00 +02:00,Completed,1300.0,57619
365,91900143.0,208541,10,1,,2004-06-21 11:20:00 +02:00,Completed,11320.0,52036
365,91900143.0,208532,10,1,,2004-06-21 11:25:00 +02:00,Completed,22660.0,20023
365,91900143.0,208538,10,1,,2004-06-21 11:55:00 +02:00,Completed,18880.0,50388
365,91900143.0,208541,10,1,,2004-06-21 12:06:00 +02:00,Completed,12500.0,52036
368,91900170.0,210266,10,1,,2004-06-21 14:20:00 +02:00,Completed,9460.0,56438
365,91900143.0,208535,10,1,,2004-06-21 15:05:00 +02:00,Completed,13100.0,55251
365,91900143.0,208541,10,1,,2004-06-22 08:26:00 +02:00,Completed,13100.0,52036
365,91900143.0,208532,10,1,,2004-06-22 08:35:00 +02:00,Completed,25800.0,20023
365,91900143.0,208547,10,1,,2004-06-22 09:42:00 +02:00,Completed,20980.0,54748
365,91900143.0,208544,10,1,,2004-06-22 10:32:00 +02:00,Completed,14305.0,52069
365,91900143.0,208548,10,1,,2004-06-22 11:06:00 +02:00,Completed,10560.0,55059
365,91900143.0,208548,10,2,,2004-06-22 11:06:00 +02:00,Completed,4020.0,55059
375,91900302.0,208550,20,1,,2004-06-22 12:08:00 +02:00,Completed,15580.0,55815
365,91900143.0,208490,10,1,,2004-06-22 12:38:00 +02:00,Completed,10196.0,50468
365,91900143.0,208490,10,2,,2004-06-22 12:38:00 +02:00,Completed,14688.0,50468
365,91900143.0,208541,10,1,,2004-06-22 13:17:00 +02:00,Completed,18860.0,52036
368,91900170.0,210266,10,1,,2004-06-22 13:22:00 +02:00,Completed,13200.0,56438
367,91900143.0,208538,10,1,,2004-06-22 13:38:00 +02:00,Completed,18540.0,50388
367,91900143.0,208535,10,1,,2004-06-22 15:58:00 +02:00,Completed,12460.0,55251
365,91900143.0,210433,10,1,,2004-06-29 16:07:00 +02:00,Completed,8320.0,54855
342,91900170.0,210274,20,1,,2004-06-23 08:29:00 +02:00,Completed,24940.0,52433
365,91900143.0,208541,10,1,,2004-06-23 08:45:00 +02:00,Completed,13020.0,52036
379,91900296.0,210275,20,1,,2004-06-23 10:23:00 +02:00,Completed,14740.0,54904
365,91900143.0,208537,10,1,,2004-06-23 10:26:00 +02:00,Completed,8960.0,50387
369,91900146.0,208537,40,2,,2004-06-23 10:26:00 +02:00,Completed,8720.0,50387
369,91900146.0,208537,40,3,,2004-06-23 10:26:00 +02:00,Completed,3840.0,50387
365,91900143.0,208541,10,1,,2004-06-23 12:09:00 +02:00,Completed,11200.0,52036
365,91900143.0,208535,10,1,,2004-06-23 12:15:00 +02:00,Completed,8800.0,55251
365,91900143.0,208532,10,1,,2004-06-23 12:45:00 +02:00,Completed,21940.0,20023
365,91900143.0,210379,10,1,,2004-06-23 12:50:00 +02:00,Completed,14220.0,58000
365,91900143.0,208541,10,1,,2004-06-23 13:00:00 +02:00,Completed,10020.0,52036
379,91900296.0,210435,20,1,,2004-06-23 14:07:00 +02:00,Completed,23890.0,52577
357,91900152.0,209536,120,1,,2004-06-24 08:17:00 +02:00,Completed,24160.0,10001
365,91900143.0,208548,10,1,,2004-06-24 08:33:00 +02:00,Completed,9940.0,55059
365,91900143.0,208547,10,1,,2004-06-24 08:42:00 +02:00,Completed,9886.0,54748
375,91900302.0,208547,20,2,,2004-06-24 08:42:00 +02:00,Completed,5260.0,54748
365,91900143.0,208553,10,1,,2004-06-24 10:04:00 +02:00,Completed,8960.0,52166
366,91900160.0,208553,20,2,,2004-06-24 10:04:00 +02:00,Completed,1774.0,52166
357,91900152.0,209536,120,1,,2004-06-24 10:14:00 +02:00,Completed,24160.0,10001
357,91900152.0,209536,120,1,,2004-06-24 11:20:00 +02:00,Completed,24220.0,10001
365,91900143.0,208490,10,1,,2004-06-24 11:41:00 +02:00,Completed,14756.0,50468
375,91900302.0,208490,20,2,,2004-06-24 11:41:00 +02:00,Completed,373.0,50468
365,91900143.0,208535,10,1,,2004-06-24 13:12:00 +02:00,Completed,13280.0,55251
365,91900143.0,208542,10,1,,2004-06-24 13:33:00 +02:00,Completed,21230.0,50420
365,91900143.0,208535,10,1,,2004-06-24 13:45:00 +02:00,Completed,14780.0,55251
365,91900143.0,208542,10,1,,2004-06-24 14:02:00 +02:00,Completed,7030.0,50420
365,91900143.0,208545,10,1,,2004-06-24 14:12:00 +02:00,Completed,6500.0,52062
365,91900143.0,208545,10,2,,2004-06-24 14:12:00 +02:00,Completed,17820.0,52062
346,91900146.0,208545,20,3,,2004-06-24 14:12:00 +02:00,Completed,820.0,52062
368,91900170.0,210266,10,1,,2004-06-24 14:31:00 +02:00,Completed,12240.0,56438
365,91900143.0,208921,10,1,,2004-06-24 15:49:00 +02:00,Completed,3760.0,57619
375,91900302.0,208921,20,2,,2004-06-24 15:49:00 +02:00,Completed,17100.0,57619
365,91900143.0,208541,10,1,,2004-06-24 16:41:00 +02:00,Completed,9420.0,52036
365,91900143.0,208541,10,1,,2004-06-25 08:26:00 +02:00,Completed,10720.0,52036
365,91900143.0,208537,10,1,,2004-06-25 08:30:00 +02:00,Completed,27640.0,50387
365,91900143.0,208540,10,1,,2004-06-25 08:43:00 +02:00,Completed,15560.0,50430
368,91900170.0,210267,10,1,,2004-06-25 08:47:00 +02:00,Completed,12640.0,57292
357,91900152.0,209536,120,1,,2004-06-25 09:03:00 +02:00,Completed,23900.0,10001
368,91900170.0,210455,10,1,,2004-06-25 09:08:00 +02:00,Completed,24760.0,52433
365,91900143.0,208540,10,1,,2004-06-25 09:40:00 +02:00,Completed,13440.0,50430
357,91900152.0,209536,120,1,,2004-06-25 10:29:00 +02:00,Completed,24020.0,10001
365,91900143.0,208542,10,1,,2004-06-25 10:37:00 +02:00,Completed,20120.0,50420
357,91900152.0,209536,120,1,,2004-06-25 10:41:00 +02:00,Completed,24400.0,10001
375,91900302.0,208535,20,1,,2004-06-25 11:58:00 +02:00,Completed,20480.0,55251
368,91900170.0,210435,10,1,,2004-06-29 12:11:00 +02:00,Completed,25300.0,52577
367,91900143.0,208541,10,1,,2004-06-25 12:27:00 +02:00,Completed,18480.0,52036
368,91900170.0,210267,10,1,,2004-06-25 13:03:00 +02:00,Completed,12460.0,57292
365,91900143.0,208535,10,1,,2004-06-25 13:22:00 +02:00,Completed,13078.0,55251
375,91900302.0,208535,20,2,,2004-06-25 13:22:00 +02:00,Completed,600.0,55251
375,91900302.0,210441,30,1,,2004-06-29 13:57:00 +02:00,Completed,3382.0,58187
379,91900296.0,210435,20,1,,2004-06-29 14:31:00 +02:00,Completed,21800.0,52577
368,91900170.0,210266,10,1,,2004-06-25 14:34:00 +02:00,Completed,11500.0,56438
367,91900143.0,208541,10,1,,2004-06-25 14:42:00 +02:00,Completed,8580.0,52036
366,91900160.0,208532,20,1,,2004-06-28 08:25:00 +02:00,Completed,12540.0,20023
367,91900143.0,208532,10,1,,2004-06-28 08:32:00 +02:00,Completed,13330.0,20023
366,91900160.0,208532,20,2,,2004-06-28 08:32:00 +02:00,Completed,6420.0,20023
369,91900146.0,208532,30,3,,2004-06-28 08:32:00 +02:00,Completed,4250.0,20023
367,91900143.0,208547,10,1,,2004-06-28 09:34:00 +02:00,Completed,22020.0,54748
367,91900143.0,208540,10,1,,2004-06-28 10:25:00 +02:00,Completed,3200.0,50430
375,91900302.0,208540,40,2,,2004-06-28 10:25:00 +02:00,Completed,15800.0,50430
368,91900170.0,210267,10,1,,2004-06-28 11:05:00 +02:00,Completed,12300.0,57292
375,91900302.0,208535,20,1,,2004-06-28 11:30:00 +02:00,Completed,14560.0,55251
368,91900170.0,210266,10,1,,2004-06-28 11:53:00 +02:00,Completed,8640.0,56438
365,91900143.0,210379,10,1,,2004-06-28 12:29:00 +02:00,Completed,14680.0,58000
365,91900143.0,208541,10,1,,2004-06-28 12:47:00 +02:00,Completed,11940.0,52036
365,91900143.0,208538,10,1,,2004-06-28 13:26:00 +02:00,Completed,18380.0,50388
365,91900143.0,208794,10,1,,2004-06-28 15:08:00 +02:00,Completed,21900.0,57615
388,91900330.0,208535,30,1,,2004-06-28 15:28:00 +02:00,Completed,17660.0,55251
379,91900296.0,210275,20,1,,2004-06-28 15:38:00 +02:00,Completed,15190.0,54904
365,91900143.0,208541,10,1,,2004-06-28 16:27:00 +02:00,Completed,11180.0,52036
367,91900143.0,208541,10,1,,2004-06-29 08:49:00 +02:00,Completed,12800.0,52036
365,91900143.0,208490,10,1,,2004-06-29 10:25:00 +02:00,Completed,8252.0,50468
365,91900143.0,208490,10,2,,2004-06-29 10:25:00 +02:00,Completed,5260.0,50468
365,91900143.0,208535,10,1,,2004-06-29 11:08:00 +02:00,Completed,14900.0,55251
364,91900182.0,210103,20,1,,2004-06-29 12:59:00 +02:00,Completed,26144.0,55688
365,91900143.0,208533,10,1,,2004-06-29 13:41:00 +02:00,Completed,10900.0,50350
389,91900330.0,208533,30,2,,2004-06-29 13:41:00 +02:00,Completed,1840.0,50350
367,91900143.0,208541,10,1,,2004-06-29 13:44:00 +02:00,Completed,7660.0,52036
379,91900296.0,210275,20,1,,2004-06-29 13:51:00 +02:00,Completed,14140.0,54904
375,91900302.0,208535,20,1,,2004-06-29 13:57:00 +02:00,Completed,11920.0,55251
367,91900143.0,210433,10,1,,2004-06-29 14:28:00 +02:00,Completed,2640.0,54855
365,91900143.0,208535,10,1,,2004-06-29 15:49:00 +02:00,Completed,16600.0,55251
365,91900143.0,208545,10,1,,2004-06-30 08:27:00 +02:00,Completed,10440.0,52062
369,91900146.0,208545,20,2,,2004-06-30 08:27:00 +02:00,Completed,1300.0,52062
367,91900143.0,208545,10,3,,2004-06-30 08:27:00 +02:00,Completed,13200.0,52062
365,91900143.0,208537,10,1,,2004-06-30 08:56:00 +02:00,Completed,26520.0,50387
346,91900146.0,208532,30,1,,2004-06-30 09:03:00 +02:00,Completed,21260.0,20023
365,91900143.0,208541,10,1,,2004-06-30 09:11:00 +02:00,Completed,11820.0,52036
381,1608.0,210325,10,1,,2004-06-30 09:21:00 +02:00,Completed,10610.0,53728
365,91900143.0,208532,10,1,,2004-06-30 10:35:00 +02:00,Completed,18640.0,20023
365,91900143.0,208535,10,1,,2004-06-30 10:41:00 +02:00,Completed,11300.0,55251
379,91900296.0,210500,20,1,,2004-06-30 10:55:00 +02:00,Completed,5930.0,57292
379,91900296.0,210267,20,2,,2004-06-30 10:55:00 +02:00,Completed,5370.0,57292
375,91900302.0,208549,20,1,,2004-06-30 13:16:00 +02:00,Completed,16200.0,55568
389,91900330.0,208535,30,1,,2004-06-30 13:21:00 +02:00,Completed,7360.0,55251
365,91900143.0,208541,10,1,,2004-06-30 13:26:00 +02:00,Completed,13940.0,52036
365,91900143.0,208538,10,1,,2004-06-30 13:38:00 +02:00,Completed,20500.0,50388
365,91900143.0,208545,10,1,,2004-06-30 14:27:00 +02:00,Completed,5820.0,52062
365,91900143.0,208545,10,2,,2004-06-30 14:27:00 +02:00,Completed,18180.0,52062
389,91900330.0,208545,50,3,,2004-06-30 14:27:00 +02:00,Completed,600.0,52062
367,91900143.0,208535,10,1,,2004-06-30 15:02:00 +02:00,Completed,16300.0,55251
357,91900152.0,209536,130,1,,2004-07-01 08:25:00 +02:00,Completed,23620.0,10001
365,91900143.0,208548,10,1,,2004-07-01 08:31:00 +02:00,Completed,16680.0,55059
357,91900152.0,209536,130,1,,2004-07-01 08:38:00 +02:00,Completed,24280.0,10001
367,91900143.0,208543,10,1,,2004-07-01 09:10:00 +02:00,Completed,20940.0,52063
365,91900143.0,208547,10,1,,2004-07-01 09:53:00 +02:00,Completed,24340.0,54748
375,91900302.0,208533,20,1,,2004-07-01 10:00:00 +02:00,Completed,9540.0,50350
365,91900143.0,208540,10,1,,2004-07-01 10:57:00 +02:00,Completed,15720.0,50430
375,91900302.0,208533,20,1,,2004-07-01 11:07:00 +02:00,Completed,10100.0,50350
375,91900302.0,208533,20,1,,2004-07-01 11:09:00 +02:00,Completed,12200.0,50350
357,91900152.0,209536,130,1,,2004-07-01 11:38:00 +02:00,Completed,24580.0,10001
365,91900143.0,208540,10,1,,2004-07-01 11:42:00 +02:00,Completed,15480.0,50430
375,91900302.0,208490,20,1,,2004-07-01 12:18:00 +02:00,Completed,690.0,50468
365,91900143.0,208490,10,2,,2004-07-01 12:18:00 +02:00,Completed,16504.0,50468
365,91900143.0,208535,10,1,,2004-07-01 13:01:00 +02:00,Completed,17340.0,55251
365,91900143.0,208532,10,1,,2004-07-01 13:17:00 +02:00,Completed,12480.0,20023
369,91900146.0,208532,30,2,,2004-07-01 13:17:00 +02:00,Completed,9380.0,20023
365,91900143.0,208535,10,1,,2004-07-01 15:21:00 +02:00,Completed,14360.0,55251
375,91900302.0,208535,20,2,,2004-07-01 15:21:00 +02:00,Completed,380.0,55251
389,91900330.0,208535,30,3,,2004-07-01 15:21:00 +02:00,Completed,360.0,55251
365,91900143.0,208535,10,1,,2004-07-01 16:23:00 +02:00,Completed,11400.0,55251
365,91900143.0,208541,10,1,,2004-07-02 08:25:00 +02:00,Completed,9820.0,52036
367,91900143.0,208532,10,1,,2004-07-02 08:31:00 +02:00,Completed,20580.0,20023
357,91900152.0,209536,130,1,,2004-07-02 08:36:00 +02:00,Completed,24060.0,10001
365,91900143.0,208547,10,1,,2004-07-02 09:12:00 +02:00,Completed,19020.0,54748
357,91900152.0,209536,130,1,,2004-07-02 09:46:00 +02:00,Completed,23920.0,10001
364,91900182.0,210538,10,1,,2004-07-02 10:19:00 +02:00,Completed,25060.0,54764
368,91900170.0,210500,10,1,,2004-07-02 11:18:00 +02:00,Completed,11020.0,57292
365,91900143.0,208535,10,1,,2004-07-02 11:31:00 +02:00,Completed,13880.0,55251
365,91900143.0,208542,10,1,,2004-07-02 11:47:00 +02:00,Completed,21380.0,50420
365,91900143.0,208541,10,1,,2004-07-02 12:14:00 +02:00,Completed,7980.0,52036
365,91900143.0,208539,10,1,,2004-07-02 12:59:00 +02:00,Completed,23960.0,54923
365,91900143.0,208535,10,1,,2004-07-02 13:16:00 +02:00,Completed,10920.0,55251
365,91900143.0,208542,10,1,,2004-07-02 14:15:00 +02:00,Completed,19940.0,50420
365,91900143.0,208532,10,1,,2004-07-05 08:22:00 +02:00,Completed,14810.0,20023
369,91900146.0,208532,30,2,,2004-07-05 08:22:00 +02:00,Completed,3340.0,20023
366,91900160.0,208532,20,3,,2004-07-05 08:22:00 +02:00,Completed,690.0,20023
365,91900143.0,208532,10,1,,2004-07-05 08:27:00 +02:00,Completed,26600.0,20023
375,91900302.0,208604,20,1,,2004-07-05 09:40:00 +02:00,Completed,700.0,52064
367,91900143.0,208604,10,2,,2004-07-05 09:40:00 +02:00,Completed,12060.0,52064
365,91900143.0,208604,10,3,,2004-07-05 09:40:00 +02:00,Completed,9040.0,52064
367,91900143.0,208550,10,1,,2004-07-05 10:21:00 +02:00,Completed,23660.0,55815
367,91900143.0,208535,10,1,,2004-07-05 10:48:00 +02:00,Completed,15240.0,55251
364,91900182.0,210538,10,1,,2004-07-05 11:21:00 +02:00,Completed,25760.0,54764
367,91900143.0,208541,10,1,,2004-07-05 11:31:00 +02:00,Completed,11100.0,52036
357,91900152.0,209536,130,1,,2004-07-05 12:58:00 +02:00,Completed,24680.0,10001
365,91900143.0,208541,10,1,,2004-07-05 15:20:00 +02:00,Completed,10500.0,52036
379,91900296.0,210513,20,1,,2004-07-05 16:28:00 +02:00,Completed,17860.0,54764
368,91900170.0,210512,10,1,,2004-07-05 16:32:00 +02:00,Completed,24516.0,54871
365,91900143.0,208537,10,1,,2004-07-06 08:26:00 +02:00,Completed,24420.0,50387
365,91900143.0,208541,10,1,,2004-07-06 08:33:00 +02:00,Completed,12760.0,52036
365,91900143.0,208548,10,1,,2004-07-06 09:10:00 +02:00,Completed,13140.0,55059
365,91900143.0,208547,10,1,,2004-07-06 09:48:00 +02:00,Completed,19320.0,54748
368,91900170.0,210513,10,1,,2004-07-06 10:17:00 +02:00,Completed,19880.0,54764
368,91900170.0,210267,10,1,,2004-07-06 10:48:00 +02:00,Completed,11720.0,57292
365,91900143.0,208533,10,1,,2004-07-06 11:10:00 +02:00,Completed,22540.0,50350
365,91900143.0,208547,10,1,,2004-07-06 11:19:00 +02:00,Completed,10200.0,54748
375,91900302.0,208547,20,2,,2004-07-06 11:19:00 +02:00,Completed,4780.0,54748
369,91900146.0,208537,40,1,,2004-07-06 13:31:00 +02:00,Completed,10120.0,50387
369,91900146.0,208537,40,2,,2004-07-06 13:31:00 +02:00,Completed,5180.0,50387
365,91900143.0,208882,10,3,,2004-07-06 13:31:00 +02:00,Completed,5400.0,50387
365,91900143.0,208548,10,1,,2004-07-07 08:37:00 +02:00,Completed,11660.0,55059
375,91900302.0,208548,30,2,,2004-07-07 08:37:00 +02:00,Completed,5200.0,55059
367,91900143.0,208549,10,1,,2004-07-07 09:36:00 +02:00,Completed,9600.0,55568
365,91900143.0,208490,10,1,,2004-07-07 10:29:00 +02:00,Completed,4802.0,50468
365,91900143.0,208490,10,2,,2004-07-07 10:29:00 +02:00,Completed,15526.0,50468
365,91900143.0,208535,10,1,,2004-07-07 10:57:00 +02:00,Completed,17280.0,55251
367,91900143.0,208532,10,1,,2004-07-07 11:42:00 +02:00,Completed,20300.0,20023
375,91900302.0,208535,20,1,,2004-07-07 13:06:00 +02:00,Completed,13260.0,55251
365,91900143.0,208540,10,1,,2004-07-07 14:29:00 +02:00,Completed,16540.0,50430
368,91900170.0,210266,10,1,,2004-07-07 15:02:00 +02:00,Completed,5200.0,56438
368,91900170.0,210576,10,2,,2004-07-07 15:02:00 +02:00,Completed,8580.0,56438
365,91900143.0,208604,10,1,,2004-07-07 15:28:00 +02:00,Completed,24360.0,52064
365,91900143.0,208533,10,1,,2004-07-07 15:44:00 +02:00,Completed,13495.0,50350
389,91900330.0,208533,30,2,,2004-07-07 15:44:00 +02:00,Completed,600.0,50350
375,91900302.0,208535,20,1,,2004-07-07 15:52:00 +02:00,Completed,13540.0,55251
365,91900143.0,208603,10,1,,2004-07-08 08:26:00 +02:00,Completed,7860.0,56343
375,91900302.0,208603,20,2,,2004-07-08 08:26:00 +02:00,Completed,8000.0,56343
365,91900143.0,208548,10,1,,2004-07-08 08:39:00 +02:00,Completed,7960.0,55059
375,91900302.0,208548,30,2,,2004-07-08 08:39:00 +02:00,Completed,3820.0,55059
365,91900143.0,208548,10,3,,2004-07-08 08:39:00 +02:00,Completed,6720.0,55059
365,91900143.0,208547,10,1,,2004-07-08 09:29:00 +02:00,Completed,21800.0,54748
365,91900143.0,208546,10,1,,2004-07-08 09:42:00 +02:00,Completed,18612.0,54667
365,91900143.0,208544,10,1,,2004-07-08 10:07:00 +02:00,Completed,23060.0,52069
357,91900152.0,209536,140,1,,2004-07-08 10:28:00 +02:00,Completed,24080.0,10001
357,91900152.0,209536,140,1,,2004-07-08 10:33:00 +02:00,Completed,23800.0,10001
365,91900143.0,208532,10,1,,2004-07-08 11:23:00 +02:00,Completed,13670.0,20023
357,91900152.0,209536,140,1,,2004-07-08 11:26:00 +02:00,Completed,23940.0,10001
367,91900143.0,208490,10,1,,2004-07-08 11:31:00 +02:00,Completed,14571.0,50468
367,91900143.0,208490,10,2,,2004-07-08 11:31:00 +02:00,Completed,4585.0,50468
375,91900302.0,208490,20,3,,2004-07-08 11:31:00 +02:00,Completed,150.0,50468
379,91900296.0,210500,20,1,,2004-07-08 11:41:00 +02:00,Completed,11360.0,57292
365,91900143.0,208535,10,1,,2004-07-08 11:44:00 +02:00,Completed,14220.0,55251
365,91900143.0,210649,10,1,,2004-07-08 13:42:00 +02:00,Completed,14160.0,58000
354,91900182.0,210103,30,1,,2004-07-08 14:36:00 +02:00,Completed,26222.0,55688
368,91900170.0,210576,10,1,,2004-07-08 14:41:00 +02:00,Completed,10860.0,56438
369,91900146.0,208537,40,1,,2004-07-09 08:19:00 +02:00,Completed,15080.0,50387
