rm_id,product_id,purchase_order_id,purchase_order_item_no,receival_item_no,batch_id,transporter_name,vehicle_no,unit_status,vehicle_start_weight,vehicle_end_weight,gross_weight,tare_weight,net_weight,wood,ironbands,plastic,water,ice,other,chips,packaging,cardboard
375,91900302.0,208603,20,1,,Transporter8,Vehicle14,Transferred,31680.0,16620.0,15060.0,0.0,15060.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,24340.0,14860.0,9480.0,0.0,9480.0,,,,,,,,,
365,91900143.0,208548,10,1,,Transporter9,Vehicle15,Transferred,26180.0,16260.0,9920.0,0.0,9920.0,,,,,,,,,
368,91900170.0,210267,10,1,,Transporter2,Vehicle16,Transferred,30540.0,17040.0,13500.0,0.0,13500.0,,,,,,,,,
389,91900330.0,208921,30,1,,Transporter8,Vehicle17,Transferred,31700.0,15800.0,6640.0,0.0,6640.0,,,,,,,,,
367,91900143.0,208921,10,2,,Transporter8,Vehicle17,Transferred,31700.0,15800.0,9260.0,0.0,9260.0,,,,,,,,,
347,91900143.0,210379,10,1,,Transporter8,Vehicle18,Transferred,29760.0,16140.0,13620.0,120.0,13500.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle3,Transferred,23600.0,13840.0,9760.0,0.0,9760.0,,,,,,,,,
365,91900143.0,208603,10,1,,Transporter8,Vehicle19,Transferred,29160.0,15100.0,9260.0,0.0,9260.0,,,,,,,,,
375,91900302.0,208603,20,2,,Transporter8,Vehicle19,Transferred,29160.0,15100.0,4800.0,0.0,4800.0,,,,,,,,,
365,91900143.0,208548,10,1,,Transporter9,Vehicle20,Transferred,26120.0,16940.0,9180.0,0.0,9180.0,,,,,,,,,
365,91900143.0,208794,10,1,,Transporter10,Vehicle21,Transferred,33100.0,15440.0,17660.0,160.0,17500.0,,,,,,,,,
357,91900152.0,209536,110,1,,Transporter8,Vehicle22,Transferred,39660.0,15740.0,23920.0,0.0,23920.0,,,,,,,,,
357,91900152.0,209536,110,1,,Transporter8,Vehicle23,Transferred,38040.0,13860.0,24180.0,0.0,24180.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle24,Transferred,28740.0,16400.0,12340.0,0.0,12340.0,,,,,,,,,
365,91900143.0,208543,10,1,,Transporter6,Vehicle25,Transferred,42020.0,16400.0,25620.0,0.0,25620.0,,,,,,,,,
365,91900143.0,208490,10,1,,Transporter1,Vehicle26,Transferred,35720.0,16220.0,6287.0,0.0,6287.0,,,,,,,,,
365,91900143.0,208490,10,2,,Transporter1,Vehicle26,Transferred,35720.0,16220.0,13213.0,264.0,12949.0,,,,,,,,,
379,91900296.0,210435,20,1,,Transporter2,Vehicle27,Transferred,39580.0,15080.0,24500.0,270.0,24230.0,,,,,,,,,
367,91900143.0,208535,10,1,,Transporter3,Vehicle28,Transferred,30000.0,18840.0,11160.0,0.0,11160.0,,,,,,,,,
357,91900152.0,209536,110,1,,Transporter8,Vehicle29,Transferred,36560.0,12720.0,23840.0,0.0,23840.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle3,Transferred,19660.0,12680.0,6980.0,0.0,6980.0,,,,,,,,,
365,91900143.0,208544,10,1,,Transporter6,Vehicle30,Transferred,38940.0,15880.0,23060.0,800.0,22260.0,,,,,,,,,
365,91900143.0,208542,10,1,,Transporter8,Vehicle31,Transferred,38100.0,15700.0,22400.0,285.0,22115.0,,,,,,,,,
367,91900143.0,208533,10,1,,Transporter6,Vehicle32,Transferred,30840.0,16300.0,14540.0,0.0,14540.0,,,,,,,,,
368,91900170.0,210267,10,1,,Transporter2,Vehicle33,Transferred,28040.0,16820.0,11220.0,0.0,11220.0,,,,,,,,,
347,91900143.0,210379,10,1,,Transporter8,Vehicle34,Transferred,31620.0,15240.0,16380.0,75.0,16305.0,,,,,,,,,
365,91900143.0,208532,10,1,,Transporter1,Vehicle35,Transferred,35580.0,14980.0,8970.0,0.0,8970.0,,,,,,,,,
369,91900146.0,208532,30,2,,Transporter1,Vehicle35,Transferred,35580.0,14980.0,6260.0,60.0,6200.0,,,,,,,,,
366,91900160.0,208532,20,3,,Transporter1,Vehicle35,Transferred,35580.0,14980.0,5370.0,60.0,5310.0,,,,,,,,,
357,91900152.0,209536,110,1,,Transporter8,Vehicle36,Transferred,38780.0,14960.0,23820.0,0.0,23820.0,,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle37,Transferred,26240.0,13820.0,12420.0,0.0,12420.0,,,,,,,,,
368,91900170.0,210275,30,1,,Transporter3,Vehicle38,Transferred,29240.0,19060.0,10180.0,0.0,10180.0,,,,,,,,,
357,91900152.0,209536,110,1,,Transporter8,Vehicle39,Transferred,37960.0,13920.0,24040.0,0.0,24040.0,,,,,,,,,
365,91900143.0,208544,10,1,,Transporter6,Vehicle40,Transferred,39320.0,16140.0,23180.0,150.0,23030.0,,,,,,,,,
365,91900143.0,208604,10,1,,Transporter6,Vehicle8,Transferred,36200.0,14800.0,10900.0,0.0,10900.0,,,,,,,,,
365,91900143.0,208604,10,2,,Transporter6,Vehicle8,Transferred,36200.0,14800.0,10500.0,200.0,10300.0,,,,,,,,,
365,91900143.0,208547,10,1,,Transporter8,Vehicle6,Transferred,39360.0,17240.0,22120.0,0.0,22120.0,,,,,,,,,
365,91900143.0,208542,10,1,,Transporter11,Vehicle41,Transferred,35300.0,14780.0,20520.0,0.0,20520.0,,,,,,,,,
365,91900143.0,208549,10,1,,Transporter8,Vehicle42,Transferred,25060.0,15880.0,9180.0,0.0,9180.0,,,,,,,,,
365,91900143.0,208533,10,1,,Transporter4,Vehicle43,Transferred,35460.0,14760.0,20700.0,0.0,20700.0,,,,,,,,,
357,91900152.0,209536,110,1,,Transporter8,Vehicle44,Transferred,40440.0,15920.0,24520.0,0.0,24520.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle45,Transferred,29100.0,13760.0,15340.0,0.0,15340.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle46,Transferred,29140.0,16100.0,13040.0,0.0,13040.0,,,,,,,,,
365,91900143.0,208545,10,1,,Transporter0,Vehicle0,Transferred,39960.0,14700.0,8720.0,0.0,8720.0,,,,,,,,,
365,91900143.0,208545,10,2,,Transporter0,Vehicle0,Transferred,39960.0,14700.0,16540.0,120.0,16420.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,32320.0,15000.0,17320.0,0.0,17320.0,,,,,,,,,
368,91900170.0,210275,10,1,,Transporter2,Vehicle47,Transferred,31300.0,16640.0,11700.0,0.0,11700.0,,,,,,,,,
368,91900170.0,210275,30,2,,Transporter2,Vehicle47,Transferred,31300.0,16640.0,2960.0,0.0,2960.0,,,,,,,,,
367,91900143.0,210379,10,1,,Transporter8,Vehicle48,Transferred,29420.0,15520.0,13900.0,0.0,13900.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter8,Vehicle3,Transferred,21820.0,13780.0,8040.0,0.0,8040.0,,,,,,,,,
375,91900302.0,208603,20,1,,Transporter8,Vehicle49,Transferred,26560.0,16540.0,10020.0,0.0,10020.0,,,,,,,,,
379,91900296.0,210267,20,1,,Transporter2,Vehicle16,Transferred,29140.0,16920.0,12220.0,0.0,12220.0,,,,,,,,,
365,91900143.0,208540,10,1,,Transporter6,Vehicle50,Transferred,36100.0,16400.0,19700.0,0.0,19700.0,,,,,,,,,
347,91900143.0,208540,10,1,,Transporter6,Vehicle9,Transferred,29840.0,14920.0,14920.0,0.0,14920.0,,,,,,,,,
365,91900143.0,208537,10,1,,Transporter4,Vehicle51,Transferred,39400.0,14280.0,25120.0,0.0,25120.0,,,,,,,,,
378,91900302.0,208921,20,1,,Transporter8,Vehicle52,Transferred,34940.0,15420.0,6200.0,0.0,6200.0,,,,,,,,,
365,91900143.0,208921,10,2,,Transporter8,Vehicle52,Transferred,34940.0,15420.0,12020.0,0.0,12020.0,,,,,,,,,
365,91900143.0,208921,10,3,,Transporter8,Vehicle52,Transferred,34940.0,15420.0,1300.0,0.0,1300.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,26240.0,14920.0,11320.0,0.0,11320.0,,,,,,,,,
365,91900143.0,208532,10,1,,Transporter1,Vehicle53,Transferred,37480.0,14820.0,22660.0,0.0,22660.0,,,,,,,,,
365,91900143.0,208538,10,1,,Transporter10,Vehicle21,Transferred,34380.0,15300.0,19080.0,200.0,18880.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle50,Transferred,28880.0,16380.0,12500.0,0.0,12500.0,,,,,,,,,
368,91900170.0,210266,10,1,,Transporter2,Vehicle54,Transferred,23520.0,14060.0,9460.0,0.0,9460.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter8,Vehicle55,Transferred,27820.0,14720.0,13100.0,0.0,13100.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,27980.0,14880.0,13100.0,0.0,13100.0,,,,,,,,,
365,91900143.0,208532,10,1,,Transporter1,Vehicle56,Transferred,40120.0,14320.0,25800.0,0.0,25800.0,,,,,,,,,
365,91900143.0,208547,10,1,,Transporter5,Vehicle57,Transferred,37560.0,16580.0,20980.0,0.0,20980.0,,,,,,,,,
365,91900143.0,208544,10,1,,Transporter6,Vehicle58,Transferred,29300.0,14800.0,14500.0,195.0,14305.0,,,,,,,,,
365,91900143.0,208548,10,1,,Transporter9,Vehicle59,Transferred,31300.0,16720.0,10560.0,0.0,10560.0,,,,,,,,,
365,91900143.0,208548,10,2,,Transporter9,Vehicle59,Transferred,31300.0,16720.0,4020.0,0.0,4020.0,,,,,,,,,
375,91900302.0,208550,20,1,,Transporter12,Vehicle60,Transferred,30300.0,14720.0,15580.0,0.0,15580.0,,,,,,,,,
365,91900143.0,208490,10,1,,Transporter1,Vehicle61,Transferred,40320.0,15140.0,10196.0,0.0,10196.0,,,,,,,,,
365,91900143.0,208490,10,2,,Transporter1,Vehicle61,Transferred,40320.0,15140.0,14984.0,296.0,14688.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,33700.0,14840.0,18860.0,0.0,18860.0,,,,,,,,,
368,91900170.0,210266,10,1,,Transporter2,Vehicle49,Transferred,29740.0,16540.0,13200.0,0.0,13200.0,,,,,,,,,
367,91900143.0,208538,10,1,,Transporter10,Vehicle21,Transferred,33900.0,15160.0,18740.0,200.0,18540.0,,,,,,,,,
367,91900143.0,208535,10,1,,Transporter3,Vehicle62,Transferred,28640.0,16180.0,12460.0,0.0,12460.0,,,,,,,,,
365,91900143.0,210433,10,1,,Transporter8,Vehicle63,Transferred,24340.0,16020.0,8320.0,0.0,8320.0,,,,,,,,,
342,91900170.0,210274,20,1,,Transporter2,Vehicle64,Transferred,41920.0,16620.0,25300.0,360.0,24940.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,28000.0,14980.0,13020.0,0.0,13020.0,,,,,,,,,
379,91900296.0,210275,20,1,,Transporter2,Vehicle65,Transferred,30620.0,15880.0,14740.0,0.0,14740.0,,,,,,,,,
365,91900143.0,208537,10,1,,Transporter6,Vehicle66,Transferred,37320.0,15600.0,9100.0,140.0,8960.0,,,,,,,,,
369,91900146.0,208537,40,2,,Transporter6,Vehicle66,Transferred,37320.0,15600.0,8720.0,0.0,8720.0,,,,,,,,,
369,91900146.0,208537,40,3,,Transporter6,Vehicle66,Transferred,37320.0,15600.0,3900.0,60.0,3840.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle50,Transferred,27520.0,16320.0,11200.0,0.0,11200.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle67,Transferred,24520.0,15720.0,8800.0,0.0,8800.0,,,,,,,,,
365,91900143.0,208532,10,1,,Transporter1,Vehicle4,Transferred,37060.0,15000.0,22060.0,120.0,21940.0,,,,,,,,,
365,91900143.0,210379,10,1,,Transporter8,Vehicle68,Transferred,29740.0,15520.0,14220.0,0.0,14220.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle69,Transferred,26240.0,16220.0,10020.0,0.0,10020.0,,,,,,,,,
379,91900296.0,210435,20,1,,Transporter2,Vehicle70,Transferred,40140.0,15980.0,24160.0,270.0,23890.0,,,,,,,,,
357,91900152.0,209536,120,1,,Transporter8,Vehicle71,Transferred,40780.0,16620.0,24160.0,0.0,24160.0,,,,,,,,,
365,91900143.0,208548,10,1,,Transporter9,Vehicle20,Transferred,26700.0,16760.0,9940.0,0.0,9940.0,,,,,,,,,
365,91900143.0,208547,10,1,,Transporter5,Vehicle72,Transferred,30700.0,15340.0,10000.0,114.0,9886.0,,,,,,,,,
375,91900302.0,208547,20,2,,Transporter5,Vehicle72,Transferred,30700.0,15340.0,5360.0,100.0,5260.0,,,,,,,,,
365,91900143.0,208553,10,1,,Transporter8,Vehicle73,Transferred,32700.0,21820.0,9100.0,140.0,8960.0,,,,,,,,,
366,91900160.0,208553,20,2,,Transporter8,Vehicle73,Transferred,32700.0,21820.0,1780.0,6.0,1774.0,,,,,,,,,
357,91900152.0,209536,120,1,,Transporter8,Vehicle29,Transferred,36660.0,12500.0,24160.0,0.0,24160.0,,,,,,,,,
357,91900152.0,209536,120,1,,Transporter8,Vehicle74,Transferred,39900.0,15680.0,24220.0,0.0,24220.0,,,,,,,,,
365,91900143.0,208490,10,1,,Transporter1,Vehicle75,Transferred,30420.0,14960.0,15087.0,331.0,14756.0,,,,,,,,,
375,91900302.0,208490,20,2,,Transporter1,Vehicle75,Transferred,30420.0,14960.0,373.0,0.0,373.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle67,Transferred,29700.0,16420.0,13280.0,0.0,13280.0,,,,,,,,,
365,91900143.0,208542,10,1,,Transporter8,Vehicle76,Transferred,36980.0,15480.0,21500.0,270.0,21230.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle77,Transferred,33560.0,18780.0,14780.0,0.0,14780.0,,,,,,,,,
365,91900143.0,208542,10,1,,Transporter13,Vehicle78,Transferred,22520.0,15220.0,7300.0,270.0,7030.0,,,,,,,,,
365,91900143.0,208545,10,1,,Transporter0,Vehicle0,Transferred,39980.0,14720.0,6500.0,0.0,6500.0,,,,,,,,,
365,91900143.0,208545,10,2,,Transporter0,Vehicle0,Transferred,39980.0,14720.0,17940.0,120.0,17820.0,,,,,,,,,
346,91900146.0,208545,20,3,,Transporter0,Vehicle0,Transferred,39980.0,14720.0,820.0,0.0,820.0,,,,,,,,,
368,91900170.0,210266,10,1,,Transporter2,Vehicle79,Transferred,28080.0,15840.0,12240.0,0.0,12240.0,,,,,,,,,
365,91900143.0,208921,10,1,,Transporter8,Vehicle80,Transferred,37000.0,15960.0,3760.0,0.0,3760.0,,,,,,,,,
375,91900302.0,208921,20,2,,Transporter8,Vehicle80,Transferred,37000.0,15960.0,17280.0,180.0,17100.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle81,Transferred,25780.0,16360.0,9420.0,0.0,9420.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,25700.0,14980.0,10720.0,0.0,10720.0,,,,,,,,,
365,91900143.0,208537,10,1,,Transporter4,Vehicle82,Transferred,41360.0,13720.0,27640.0,0.0,27640.0,,,,,,,,,
365,91900143.0,208540,10,1,,Transporter6,Vehicle9,Transferred,30080.0,14520.0,15560.0,0.0,15560.0,,,,,,,,,
368,91900170.0,210267,10,1,,Transporter8,Vehicle83,Transferred,28580.0,15940.0,12640.0,0.0,12640.0,,,,,,,,,
357,91900152.0,209536,120,1,,Transporter8,Vehicle84,Transferred,39340.0,15440.0,23900.0,0.0,23900.0,,,,,,,,,
368,91900170.0,210455,10,1,,Transporter2,Vehicle64,Transferred,41660.0,16580.0,25080.0,320.0,24760.0,,,,,,,,,
365,91900143.0,208540,10,1,,Transporter6,Vehicle85,Transferred,29340.0,15900.0,13440.0,0.0,13440.0,,,,,,,,,
357,91900152.0,209536,120,1,,Transporter8,Vehicle86,Transferred,40740.0,16720.0,24020.0,0.0,24020.0,,,,,,,,,
365,91900143.0,208542,10,1,,Transporter11,Vehicle41,Transferred,35580.0,15460.0,20120.0,0.0,20120.0,,,,,,,,,
357,91900152.0,209536,120,1,,Transporter8,Vehicle87,Transferred,39420.0,15020.0,24400.0,0.0,24400.0,,,,,,,,,
375,91900302.0,208535,20,1,,Transporter3,Vehicle38,Transferred,39780.0,19300.0,20480.0,0.0,20480.0,,,,,,,,,
368,91900170.0,210435,10,1,,Transporter2,Vehicle88,Transferred,40460.0,14880.0,25580.0,280.0,25300.0,,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,33400.0,14920.0,18480.0,0.0,18480.0,,,,,,,,,
368,91900170.0,210267,10,1,,Transporter2,Vehicle89,Transferred,28340.0,15880.0,12460.0,0.0,12460.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle90,Transferred,28340.0,14640.0,13100.0,22.0,13078.0,,,,,,,,,
375,91900302.0,208535,20,2,,Transporter3,Vehicle90,Transferred,28340.0,14640.0,600.0,0.0,600.0,,,,,,,,,
375,91900302.0,210441,30,1,,Transporter8,Vehicle91,Transferred,18960.0,15560.0,3400.0,18.0,3382.0,,,,,,,,,
379,91900296.0,210435,20,1,,Transporter2,Vehicle92,Transferred,38780.0,16740.0,22040.0,240.0,21800.0,,,,,,,,,
368,91900170.0,210266,10,1,,Transporter2,Vehicle93,Transferred,28280.0,16780.0,11500.0,0.0,11500.0,,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle94,Transferred,24440.0,15860.0,8580.0,0.0,8580.0,,,,,,,,,
366,91900160.0,208532,20,1,,Transporter1,Vehicle56,Transferred,27240.0,14700.0,12540.0,0.0,12540.0,,,,,,,,,
367,91900143.0,208532,10,1,,Transporter1,Vehicle35,Transferred,38940.0,14940.0,13330.0,0.0,13330.0,,,,,,,,,
366,91900160.0,208532,20,2,,Transporter1,Vehicle35,Transferred,38940.0,14940.0,6420.0,0.0,6420.0,,,,,,,,,
369,91900146.0,208532,30,3,,Transporter1,Vehicle35,Transferred,38940.0,14940.0,4250.0,0.0,4250.0,,,,,,,,,
367,91900143.0,208547,10,1,,Transporter6,Vehicle57,Transferred,38680.0,16660.0,22020.0,0.0,22020.0,,,,,,,,,
367,91900143.0,208540,10,1,,Transporter6,Vehicle9,Transferred,33900.0,14880.0,3200.0,0.0,3200.0,,,,,,,,,
375,91900302.0,208540,40,2,,Transporter6,Vehicle9,Transferred,33900.0,14880.0,15820.0,20.0,15800.0,,,,,,,,,
368,91900170.0,210267,10,1,,Transporter2,Vehicle89,Transferred,28160.0,15860.0,12300.0,0.0,12300.0,,,,,,,,,
375,91900302.0,208535,20,1,,Transporter3,Vehicle62,Transferred,31320.0,16760.0,14560.0,0.0,14560.0,,,,,,,,,
368,91900170.0,210266,10,1,,Transporter2,Vehicle54,Transferred,22700.0,14060.0,8640.0,0.0,8640.0,,,,,,,,,
365,91900143.0,210379,10,1,,Transporter8,Vehicle95,Transferred,30360.0,15680.0,14680.0,0.0,14680.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle37,Transferred,25720.0,13780.0,11940.0,0.0,11940.0,,,,,,,,,
365,91900143.0,208538,10,1,,Transporter10,Vehicle21,Transferred,34180.0,15440.0,18740.0,360.0,18380.0,,,,,,,,,
365,91900143.0,208794,10,1,,Transporter10,Vehicle96,Transferred,38240.0,16140.0,22100.0,200.0,21900.0,,,,,,,,,
388,91900330.0,208535,30,1,,Transporter3,Vehicle97,Transferred,39820.0,21960.0,17860.0,200.0,17660.0,,,,,,,,,
379,91900296.0,210275,20,1,,Transporter2,Vehicle98,Transferred,34800.0,19460.0,15340.0,150.0,15190.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle99,Transferred,27780.0,16600.0,11180.0,0.0,11180.0,,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,27780.0,14980.0,12800.0,0.0,12800.0,,,,,,,,,
365,91900143.0,208490,10,1,,Transporter1,Vehicle100,Transferred,29060.0,15340.0,8460.0,208.0,8252.0,,,,,,,,,
365,91900143.0,208490,10,2,,Transporter1,Vehicle100,Transferred,29060.0,15340.0,5260.0,0.0,5260.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle67,Transferred,32560.0,17660.0,14900.0,0.0,14900.0,,,,,,,,,
364,91900182.0,210103,20,1,,Transporter2,Vehicle101,Transferred,40940.0,14620.0,26320.0,176.0,26144.0,,,,,,,,,
365,91900143.0,208533,10,1,,Transporter6,Vehicle30,Transferred,28820.0,16080.0,10900.0,0.0,10900.0,,,,,,,,,
389,91900330.0,208533,30,2,,Transporter6,Vehicle30,Transferred,28820.0,16080.0,1840.0,0.0,1840.0,,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,22620.0,14960.0,7660.0,0.0,7660.0,,,,,,,,,
379,91900296.0,210275,20,1,,Transporter2,Vehicle38,Transferred,33560.0,19420.0,14140.0,0.0,14140.0,,,,,,,,,
375,91900302.0,208535,20,1,,Transporter3,Vehicle67,Transferred,27740.0,15820.0,11920.0,0.0,11920.0,,,,,,,,,
367,91900143.0,210433,10,1,,Transporter8,Vehicle102,Transferred,8160.0,5520.0,2640.0,0.0,2640.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle45,Transferred,30900.0,14300.0,16600.0,0.0,16600.0,,,,,,,,,
365,91900143.0,208545,10,1,,Transporter0,Vehicle0,Transferred,39840.0,14780.0,10440.0,0.0,10440.0,,,,,,,,,
369,91900146.0,208545,20,2,,Transporter0,Vehicle0,Transferred,39840.0,14780.0,1300.0,0.0,1300.0,,,,,,,,,
367,91900143.0,208545,10,3,,Transporter0,Vehicle0,Transferred,39840.0,14780.0,13320.0,120.0,13200.0,,,,,,,,,
365,91900143.0,208537,10,1,,Transporter4,Vehicle82,Transferred,40180.0,13660.0,26520.0,0.0,26520.0,,,,,,,,,
346,91900146.0,208532,30,1,,Transporter1,Vehicle103,Transferred,35940.0,14680.0,21260.0,0.0,21260.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,26720.0,14900.0,11820.0,0.0,11820.0,,,,,,,,,
381,1608.0,210325,10,1,,Transporter8,Vehicle104,Transferred,32380.0,21680.0,10731.0,121.0,10610.0,,,,,,,,,
365,91900143.0,208532,10,1,,Transporter1,Vehicle4,Transferred,33620.0,14860.0,18760.0,120.0,18640.0,,,,,,,,,
365,91900143.0,208535,10,1,,Transporter3,Vehicle3,Transferred,24940.0,13640.0,11300.0,0.0,11300.0,,,,,,,,,
379,91900296.0,210500,20,1,,Transporter2,Vehicle89,Transferred,27340.0,16040.0,5930.0,0.0,5930.0,,,,,,,,,
379,91900296.0,210267,20,2,,Transporter2,Vehicle89,Accepted,27340.0,16040.0,5370.0,0.0,5370.0,,,,,,,,,
375,91900302.0,208549,20,1,,Transporter14,Vehicle105,Transferred,32100.0,15900.0,16200.0,0.0,16200.0,,,,,,,,,
389,91900330.0,208535,30,1,,Transporter3,Vehicle3,Transferred,21000.0,13640.0,7360.0,0.0,7360.0,,,,,,,,,
365,91900143.0,208541,10,1,,Transporter6,Vehicle50,Transferred,30700.0,16260.0,14440.0,500.0,13940.0,,,,,,,,,
365,91900143.0,208538,10,1,,Transporter10,Vehicle106,Transferred,36880.0,16180.0,20700.0,200.0,20500.0,,,,,,,,,
365,91900143.0,208545,10,1,,Transporter0,Vehicle0,Transferred,39460.0,14740.0,5820.0,0.0,5820.0,,,,,,,,,
365,91900143.0,208545,10,2,,Transporter0,Vehicle0,Transferred,39460.0,14740.0,18300.0,120.0,18180.0,,,,,,,,,
389,91900330.0,208545,50,3,,Transporter0,Vehicle0,Transferred,39460.0,14740.0,600.0,0.0,600.0,,,,,,,,,
367,91900143.0,208535,10,1,,Transporter3,Vehicle38,Transferred,35640.0,19340.0,16300.0,0.0,16300.0,,,,,,,,,
